work_id,mp_id,mp_name,state,constituency,district,allocated_limit,work_category,work_description,implementing_agency,sanction_date,cost_sanctioned,expenditure,completion_date,status,synthetic_ground_truth_fraud,synthetic_issue_tags,record_source,utilization_ratio,completion_lag_days,cost_ratio_to_category_median,lag_ratio_to_category_median,agency_concentration,sanction_month,is_year_end_rush,is_round_number,same_day_batch_key,is_near_threshold,is_possible_split,is_duplicate_suspect,duplicate_match_id,is_vague_description,rule_reason_codes,rule_flag_count,_iso_pred,anomaly_decision_score,is_statistical_anomaly,anomaly_score_normalized,all_reason_codes,risk_score,risk_band,is_flagged,sanction_ym
W000001,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Community Hall Construction,Community Hall Construction in Hingoli District ward 9,Zilla Parishad Agency 3,2024-03-07,917799.25,758484.2,2024-09-25,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8264162342690953,202,0.7974631527713263,1.1160220994475138,0.05,3,True,False,LS001_Zilla Parishad Agency 3_2024-03-07,True,False,True,W000006,False,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",2,1,0.10539059094397984,False,0.030154094827833045,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",26.2,Medium,False,2024-03
W000002,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Library / Reading Room,Library / Reading Room in Hingoli District ward 15,State PSU Agency 5,2022-05-21,479291.15,401777.14,2022-11-10,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8382736464046957,173,0.801744214785102,0.9558011049723757,0.05,5,False,False,LS001_State PSU Agency 5_2022-05-21,False,False,False,,False,['SHELL_AGENCY_PATTERN'],1,1,0.10984474901093327,False,0.020418981830583993,['SHELL_AGENCY_PATTERN'],14.1,Low,False,2022-05
W000003,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Library / Reading Room,Library / Reading Room in Hingoli District ward 19,Contractor Firm 3,2021-10-11,614849.14,528548.44,2022-05-08,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8596392279250809,209,1.0285016549139188,1.1546961325966851,0.05,10,False,False,LS001_Contractor Firm 3_2021-10-11,False,False,False,,False,['SHELL_AGENCY_PATTERN'],1,1,0.1094848805476707,False,0.021205518837431492,['SHELL_AGENCY_PATTERN'],14.1,Low,False,2021-10
W000004,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Hingoli District ward 5,Contractor Firm 11,2024-10-25,513699.59,418765.87,2025-06-30,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8151960370456982,248,1.0662400665191532,1.3777777777777778,0.05,10,False,False,LS001_Contractor Firm 11_2024-10-25,False,False,True,W000009,False,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",2,1,0.06423588707693206,False,0.12010278692444532,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",26.6,Medium,False,2024-10
W000005,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Hingoli District ward 15,Contractor Firm 7,2024-02-08,1101915.39,920442.17,2024-07-26,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8353111122261394,169,1.1130835696502643,0.9337016574585635,0.1,2,True,False,LS001_Contractor Firm 7_2024-02-08,False,False,False,,False,['SHELL_AGENCY_PATTERN'],1,1,0.10978458593413065,False,0.020550475671200275,['SHELL_AGENCY_PATTERN'],14.1,Low,False,2024-02
W000006,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Community Hall Construction,Community Hall Construction in Hingoli District ward 9,Contractor Firm 15,2021-08-17,1394054.32,1283940.2,2022-02-02,Completed,0,,SYNTHETIC_DEMO_DATA,0.9210116001792527,169,1.2112746367592775,0.9337016574585635,0.1,8,False,False,LS001_Contractor Firm 15_2021-08-17,False,False,True,W000001,False,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",2,1,0.10098308588294014,False,0.03978724191426264,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",26.2,Medium,False,2021-08
W000007,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drainage System,Drainage System in Hingoli District ward 9,Contractor Firm 7,2023-11-06,684625.36,648772.68,2024-07-14,Completed,0,,SYNTHETIC_DEMO_DATA,0.9476316799015451,251,1.0179731096587565,1.4022346368715084,0.1,11,False,False,LS001_Contractor Firm 7_2023-11-06,False,False,False,,False,['SHELL_AGENCY_PATTERN'],1,1,0.06411001957198792,False,0.12037788591395004,['SHELL_AGENCY_PATTERN'],14.6,Low,False,2023-11
W000008,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drinking Water Facility,Drinking Water Facility in Hingoli District ward 20,Cooperative Board Agency 7,2021-11-27,669823.77,544985.12,2022-06-29,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8136246344318298,214,1.3143297248008368,1.169398907103825,0.05,11,False,False,LS001_Cooperative Board Agency 7_2021-11-27,False,False,True,W000015,False,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",2,1,0.07558428920890248,False,0.09529945138217533,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",26.5,Medium,False,2021-11
W000009,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Hingoli District ward 20,Contractor Firm 1,2021-08-18,697375.25,618915.83,2022-01-23,In Progress,0,,SYNTHETIC_DEMO_DATA,0.8874932541698317,158,1.4474791248106915,0.8777777777777778,0.05,8,False,False,LS001_Contractor Firm 1_2021-08-18,False,False,True,W000004,False,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",2,1,0.07429893693029632,False,0.09810874765891509,"['DUPLICATE_DESCRIPTION', 'SHELL_AGENCY_PATTERN']",26.5,Medium,False,2021-08
W000010,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Solar Street Lighting,Solar Street Lighting in Hingoli District ward 2,Panchayati Raj Agency 8,2021-06-11,442199.05,430331.36,2022-01-01,Completed,0,,SYNTHETIC_DEMO_DATA,0.9731621087833635,204,1.2404525170405147,1.120879120879121,0.1,6,False,False,LS001_Panchayati Raj Agency 8_2021-06-11,False,False,False,,False,['SHELL_AGENCY_PATTERN'],1,1,0.0783316998666802,False,0.08929464580471924,['SHELL_AGENCY_PATTERN'],14.4,Low,False,2021-06
